game,agent_mark,ply,board,player,action,after
0,X,1,.........,X,4,....X....
0,X,2,....X....,O,1,.O..X....
0,X,3,.O..X....,X,0,XO..X....
0,X,4,XO..X....,O,5,XO..XO...
0,X,5,XO..XO...,X,3,XO.XXO...
0,X,6,XO.XXO...,O,7,XO.XXO.O.
0,X,7,XO.XXO.O.,X,8,XO.XXO.OX
1,O,1,.........,X,8,........X
1,O,2,........X,O,4,....O...X
1,O,3,....O...X,X,7,....O..XX
1,O,4,....O..XX,O,6,....O.OXX
1,O,5,....O.OXX,X,2,..X.O.OXX
1,O,6,..X.O.OXX,O,5,..X.OOOXX
1,O,7,..X.OOOXX,X,3,..XXOOOXX
1,O,8,..XXOOOXX,O,1,.OXXOOOXX
1,O,9,.OXXOOOXX,X,0,XOXXOOOXX
2,X,1,.........,X,4,....X....
2,X,2,....X....,O,0,O...X....
2,X,3,O...X....,X,1,OX..X....
2,X,4,OX..X....,O,6,OX..X.O..
2,X,5,OX..X.O..,X,7,OX..X.OX.
3,O,1,.........,X,1,.X.......
3,O,2,.X.......,O,2,.XO......
3,O,3,.XO......,X,3,.XOX.....
3,O,4,.XOX.....,O,0,OXOX.....
3,O,5,OXOX.....,X,5,OXOX.X...
3,O,6,OXOX.X...,O,4,OXOXOX...
3,O,7,OXOXOX...,X,7,OXOXOX.X.
3,O,8,OXOXOX.X.,O,6,OXOXOXOX.
4,X,1,.........,X,4,....X....
4,X,2,....X....,O,2,..O.X....
4,X,3,..O.X....,X,1,.XO.X....
4,X,4,.XO.X....,O,8,.XO.X...O
4,X,5,.XO.X...O,X,7,.XO.X..XO
5,O,1,.........,X,8,........X
5,O,2,........X,O,4,....O...X
5,O,3,....O...X,X,2,..X.O...X
5,O,4,..X.O...X,O,5,..X.OO..X
5,O,5,..X.OO..X,X,7,..X.OO.XX
5,O,6,..X.OO.XX,O,6,..X.OOOXX
5,O,7,..X.OOOXX,X,0,X.X.OOOXX
5,O,8,X.X.OOOXX,O,3,X.XOOOOXX
6,X,1,.........,X,4,....X....
6,X,2,....X....,O,6,....X.O..
6,X,3,....X.O..,X,8,....X.O.X
6,X,4,....X.O.X,O,1,.O..X.O.X
6,X,5,.O..X.O.X,X,3,.O.XX.O.X
6,X,6,.O.XX.O.X,O,5,.O.XXOO.X
6,X,7,.O.XXOO.X,X,0,XO.XXOO.X
7,O,1,.........,X,5,.....X...
7,O,2,.....X...,O,8,.....X..O
7,O,3,.....X..O,X,0,X....X..O
7,O,4,X....X..O,O,7,X....X.OO
7,O,5,X....X.OO,X,1,XX...X.OO
7,O,6,XX...X.OO,O,2,XXO..X.OO
7,O,7,XXO..X.OO,X,4,XXO.XX.OO
7,O,8,XXO.XX.OO,O,6,XXO.XXOOO
8,X,1,.........,X,4,....X....
8,X,2,....X....,O,1,.O..X....
8,X,3,.O..X....,X,0,XO..X....
8,X,4,XO..X....,O,7,XO..X..O.
8,X,5,XO..X..O.,X,5,XO..XX.O.
8,X,6,XO..XX.O.,O,2,XOO.XX.O.
8,X,7,XOO.XX.O.,X,6,XOO.XXXO.
8,X,8,XOO.XXXO.,O,8,XOO.XXXOO
8,X,9,XOO.XXXOO,X,3,XOOXXXXOO
9,O,1,.........,X,6,......X..
9,O,2,......X..,O,5,.....OX..
9,O,3,.....OX..,X,3,...X.OX..
9,O,4,...X.OX..,O,0,O..X.OX..
9,O,5,O..X.OX..,X,1,OX.X.OX..
9,O,6,OX.X.OX..,O,8,OX.X.OX.O
9,O,7,OX.X.OX.O,X,2,OXXX.OX.O
9,O,8,OXXX.OX.O,O,4,OXXXOOX.O
10,X,1,.........,X,4,....X....
10,X,2,....X....,O,3,...OX....
10,X,3,...OX....,X,8,...OX...X
10,X,4,...OX...X,O,2,..OOX...X
10,X,5,..OOX...X,X,1,.XOOX...X
10,X,6,.XOOX...X,O,7,.XOOX..OX
10,X,7,.XOOX..OX,X,5,.XOOXX.OX
10,X,8,.XOOXX.OX,O,0,OXOOXX.OX
10,X,9,OXOOXX.OX,X,6,OXOOXXXOX
11,O,1,.........,X,7,.......X.
11,O,2,.......X.,O,0,O......X.
11,O,3,O......X.,X,5,O....X.X.
11,O,4,O....X.X.,O,2,O.O..X.X.
11,O,5,O.O..X.X.,X,8,O.O..X.XX
11,O,6,O.O..X.XX,O,4,O.O.OX.XX
11,O,7,O.O.OX.XX,X,1,OXO.OX.XX
11,O,8,OXO.OX.XX,O,6,OXO.OXOXX
12,X,1,.........,X,4,....X....
12,X,2,....X....,O,7,....X..O.
12,X,3,....X..O.,X,5,....XX.O.
12,X,4,....XX.O.,O,2,..O.XX.O.
12,X,5,..O.XX.O.,X,6,..O.XXXO.
12,X,6,..O.XXXO.,O,1,.OO.XXXO.
12,X,7,.OO.XXXO.,X,3,.OOXXXXO.
13,O,1,.........,X,1,.X.......
13,O,2,.X.......,O,2,.XO......
13,O,3,.XO......,X,0,XXO......
13,O,4,XXO......,O,4,XXO.O....
13,O,5,XXO.O....,X,6,XXO.O.X..
13,O,6,XXO.O.X..,O,3,XXOOO.X..
13,O,7,XXOOO.X..,X,5,XXOOOXX..
13,O,8,XXOOOXX..,O,8,XXOOOXX.O
13,O,9,XXOOOXX.O,X,7,XXOOOXXXO
14,X,1,.........,X,4,....X....
14,X,2,....X....,O,0,O...X....
14,X,3,O...X....,X,1,OX..X....
14,X,4,OX..X....,O,5,OX..XO...
14,X,5,OX..XO...,X,3,OX.XXO...
14,X,6,OX.XXO...,O,6,OX.XXOO..
14,X,7,OX.XXOO..,X,7,OX.XXOOX.
15,O,1,.........,X,6,......X..
15,O,2,......X..,O,5,.....OX..
15,O,3,.....OX..,X,4,....XOX..
15,O,4,....XOX..,O,0,O...XOX..
15,O,5,O...XOX..,X,8,O...XOX.X
15,O,6,O...XOX.X,O,2,O.O.XOX.X
15,O,7,O.O.XOX.X,X,7,O.O.XOXXX
16,X,1,.........,X,4,....X....
16,X,2,....X....,O,5,....XO...
16,X,3,....XO...,X,8,....XO..X
16,X,4,....XO..X,O,3,...OXO..X
16,X,5,...OXO..X,X,0,X..OXO..X
17,O,1,.........,X,1,.X.......
17,O,2,.X.......,O,2,.XO......
17,O,3,.XO......,X,5,.XO..X...
17,O,4,.XO..X...,O,8,.XO..X..O
17,O,5,.XO..X..O,X,0,XXO..X..O
17,O,6,XXO..X..O,O,4,XXO.OX..O
17,O,7,XXO.OX..O,X,7,XXO.OX.XO
17,O,8,XXO.OX.XO,O,6,XXO.OXOXO
18,X,1,.........,X,4,....X....
18,X,2,....X....,O,6,....X.O..
18,X,3,....X.O..,X,8,....X.O.X
18,X,4,....X.O.X,O,0,O...X.O.X
18,X,5,O...X.O.X,X,3,O..XX.O.X
18,X,6,O..XX.O.X,O,7,O..XX.OOX
18,X,7,O..XX.OOX,X,5,O..XXXOOX
19,O,1,.........,X,8,........X
19,O,2,........X,O,4,....O...X
19,O,3,....O...X,X,2,..X.O...X
19,O,4,..X.O...X,O,5,..X.OO..X
19,O,5,..X.OO..X,X,1,.XX.OO..X
19,O,6,.XX.OO..X,O,3,.XXOOO..X
20,X,1,.........,X,4,....X....
20,X,2,....X....,O,1,.O..X....
20,X,3,.O..X....,X,0,XO..X....
20,X,4,XO..X....,O,5,XO..XO...
20,X,5,XO..XO...,X,3,XO.XXO...
20,X,6,XO.XXO...,O,8,XO.XXO..O
20,X,7,XO.XXO..O,X,6,XO.XXOX.O
21,O,1,.........,X,7,.......X.
21,O,2,.......X.,O,0,O......X.
21,O,3,O......X.,X,8,O......XX
21,O,4,O......XX,O,6,O.....OXX
21,O,5,O.....OXX,X,3,O..X..OXX
21,O,6,O..X..OXX,O,5,O..X.OOXX
21,O,7,O..X.OOXX,X,2,O.XX.OOXX
21,O,8,O.XX.OOXX,O,1,OOXX.OOXX
21,O,9,OOXX.OOXX,X,4,OOXXXOOXX
22,X,1,.........,X,4,....X....
22,X,2,....X....,O,3,...OX....
22,X,3,...OX....,X,8,...OX...X
22,X,4,...OX...X,O,6,...OX.O.X
22,X,5,...OX.O.X,X,0,X..OX.O.X
23,O,1,.........,X,4,....X....
23,O,2,....X....,O,2,..O.X....
23,O,3,..O.X....,X,0,X.O.X....
23,O,4,X.O.X....,O,8,X.O.X...O
23,O,5,X.O.X...O,X,7,X.O.X..XO
23,O,6,X.O.X..XO,O,3,X.OOX..XO
23,O,7,X.OOX..XO,X,5,X.OOXX.XO
23,O,8,X.OOXX.XO,O,1,XOOOXX.XO
23,O,9,XOOOXX.XO,X,6,XOOOXXXXO
24,X,1,.........,X,4,....X....
24,X,2,....X....,O,3,...OX....
24,X,3,...OX....,X,8,...OX...X
24,X,4,...OX...X,O,5,...OXO..X
24,X,5,...OXO..X,X,0,X..OXO..X
25,O,1,.........,X,2,..X......
25,O,2,..X......,O,7,..X....O.
25,O,3,..X....O.,X,4,..X.X..O.
25,O,4,..X.X..O.,O,8,..X.X..OO
25,O,5,..X.X..OO,X,6,..X.X.XOO
26,X,1,.........,X,4,....X....
26,X,2,....X....,O,1,.O..X....
26,X,3,.O..X....,X,0,XO..X....
26,X,4,XO..X....,O,3,XO.OX....
26,X,5,XO.OX....,X,6,XO.OX.X..
26,X,6,XO.OX.X..,O,5,XO.OXOX..
26,X,7,XO.OXOX..,X,7,XO.OXOXX.
26,X,8,XO.OXOXX.,O,8,XO.OXOXXO
26,X,9,XO.OXOXXO,X,2,XOXOXOXXO
27,O,1,.........,X,8,........X
27,O,2,........X,O,4,....O...X
27,O,3,....O...X,X,0,X...O...X
27,O,4,X...O...X,O,6,X...O.O.X
27,O,5,X...O.O.X,X,5,X...OXO.X
27,O,6,X...OXO.X,O,2,X.O.OXO.X
28,X,1,.........,X,4,....X....
28,X,2,....X....,O,0,O...X....
28,X,3,O...X....,X,1,OX..X....
28,X,4,OX..X....,O,5,OX..XO...
28,X,5,OX..XO...,X,3,OX.XXO...
28,X,6,OX.XXO...,O,2,OXOXXO...
28,X,7,OXOXXO...,X,7,OXOXXO.X.
29,O,1,.........,X,3,...X.....
29,O,2,...X.....,O,6,...X..O..
29,O,3,...X..O..,X,1,.X.X..O..
29,O,4,.X.X..O..,O,4,.X.XO.O..
29,O,5,.X.XO.O..,X,2,.XXXO.O..
29,O,6,.XXXO.O..,O,8,.XXXO.O.O
29,O,7,.XXXO.O.O,X,0,XXXXO.O.O
30,X,1,.........,X,4,....X....
30,X,2,....X....,O,3,...OX....
30,X,3,...OX....,X,8,...OX...X
30,X,4,...OX...X,O,0,O..OX...X
30,X,5,O..OX...X,X,6,O..OX.X.X
30,X,6,O..OX.X.X,O,7,O..OX.XOX
30,X,7,O..OX.XOX,X,2,O.XOX.XOX
31,O,1,.........,X,4,....X....
31,O,2,....X....,O,2,..O.X....
31,O,3,..O.X....,X,3,..OXX....
31,O,4,..OXX....,O,5,..OXXO...
31,O,5,..OXXO...,X,8,..OXXO..X
