file,sha256
artifact-view.png,a034ebeb9571817a20fd7512dad848148aae815af7258c5651927bf8bb019d8e
artifact-view.svg,1c27d9deb4b48727e74df5bb0f7b8ed8dd4bd66c1c8fcb806b3806b619240c17
build-three-views.py,cb24fee97f9f9576c635cd97ee9e8f5f979cf243c7f25b0fca67928c9af3020e
control-plan.mmd,54af88c829a503bec85baa671b5417b704e3f48d682b2f2b3e7929e8641036ef
control-view.png,dc81335367be8911cbd871889dd59f1acab9b38caacd86cb8502a5902b3efcf0
control-view.svg,099da08d77bd552803129e0c3aefc982c0b962fc5f87e4064fb416da6f8ebca8
MANIFEST-before-path-correction.csv,62780039d1d92792d8d563a04058278156b95531622f233d90707ad9827a2d11
PROGRESS.md,059de95231a5c40be58c185c750142ac961967510d5e243130829419b8bf7859
PROTOCOL.md,83b939d5c2fd1ccdd4fe97216268d76da44df3863b5f00153db1fab44733d5f1
RECORD-CHECK.md,598317950859d7b7693c8c33e4e54f14b59a3ce3ac11e16729ae7fb26af6459a
REVIEW.md,ce28962043dd0de9e9441dd6c898c8ad156277d3e9a208ee92a2800b2899eb17
revised-plan.mmd,1402a08d7b4bd8e41f99a548f977cfd82af7ccbb876c8858630ab86e59df14a9
SOURCES.csv,1c9ba20b7bfae7026b6e5f0ae8997e46d619a507e7b1b3d931a5c69356c87ac6
trace-view.png,e50755cbe01d3bdb7353169f352f126b33b47cfef1bfdbff999e396ebb8b6f5a
trace-view.svg,f27e32ed12faa42893419f5febb580637aabb9f760762d7ae21120e321744ba0
VIEWS-before-path-correction.md,f9b3d8183554c7c426456fa958738cebace9429b0279d7d07c1ac49c3a74321c
VIEWS.md,3c64e850742af83bba76721d78a3c636ea68c75cd54b4d248af17d8c995bda9f
